mp_id,formula,band_gap,Ef_eV_atom,density_g_cm3,volume_A3,nsites,n_elements,crystal_system
mp-1101806,Sr3Co2(ClO2)2,0.0,-2.356794768181818,4.605587928670804,371.8195181880623,22,4,Tetragonal
mp-30545,Mg2VO4,0.0,-2.7895048285714292,3.604350588449166,150.69547936185745,14,3,Cubic
mp-1595,Nb2O5,2.171,-3.026667726428572,4.376949510667836,100.8436331485631,7,2,Monoclinic
mp-15051,Nd(PdO2)2,0.0,-1.94622754892857,7.96336079474406,175.60905350660403,14,3,Tetragonal
mp-17194,ErCu(WO4)2,1.087899999999999,-2.386358747083333,7.950176371928906,303.47723038468683,24,4,Monoclinic
mp-27548,CuTe2O5,0.1303,-1.329466686979167,5.4816671286372,483.15836295437055,32,3,Monoclinic
mp-505819,TlFeO3,0.7036999999999991,-1.356483360166667,8.617568623575883,237.57148540071753,20,3,Orthorhombic
mp-755614,CoBiO4,0.5144000000000001,-1.21933431,6.6335167614449855,166.17173838853245,12,3,Orthorhombic
mp-561177,Gd3BWO9,3.2389,-3.338328356369049,7.549914787143497,356.4791368221226,28,4,Hexagonal
mp-768499,FeNiO3,0.38419999999999904,-1.275920116,5.296360279461146,101.91843447621245,10,3,Trigonal
mp-22338,EuOF,0.0,-3.558056101666668,7.311002024746327,84.9288174520381,6,3,Trigonal
mp-6479,KDy(PO3)4,5.2774,-2.91866654597156,3.459182647672711,496.82601510300594,36,4,Monoclinic
mp-545665,WO3,1.1401,-2.179940107916668,6.392982410369374,180.65577074283593,12,2,Hexagonal
mp-19361,Cr2(SO4)3,0.0,-2.014279678382353,3.106986809406599,419.20371799941165,34,3,Trigonal
mp-1019512,AlPO4,5.2949,-3.035414427857143,3.216630912426728,755.4769990519372,72,3,Monoclinic
mp-760093,LiTi8O16,0.0,-3.3808290841999993,3.727683251444045,575.418015534396,50,3,Orthorhombic
mp-19183,Li2NiO2,0.6210999999999991,-1.631057823333333,3.582157063309004,48.47625087048349,5,3,Orthorhombic
mp-763976,V4O7F5,1.3889,-2.519886328125,3.258597546035697,209.31481982266124,16,3,Triclinic
mp-757798,Bi12PO20,0.0,-1.75161822256494,8.989665201523614,528.0538296491349,33,3,Cubic
mp-1194592,AgI3O8,,-0.753021275972222,4.979406561017461,822.4673908574347,48,3,Tetragonal
mp-1019586,CaAl2SiO6,4.536299999999999,-3.4282218700000002,3.332279482621502,217.38976388544526,20,4,Monoclinic
mp-560445,SrEr2O4,3.766499999999999,-3.7788546217857153,8.129407715950551,397.19850875785056,28,3,Orthorhombic
mp-1147558,Ba4Mg(BiO4)3,,-2.314841754749999,7.175433590622696,322.26327041735715,20,4,Cubic
mp-1105510,Mn2CrSbO6,1.4196,-2.078288352086206,5.665204365680683,222.54734826941475,20,4,Monoclinic
mp-755465,Hg2Pt2O7,0.0,-0.8439466536363641,11.225636569881635,267.25213508078383,22,3,Cubic
mp-779609,V4OF11,1.4304000000000001,-3.1304188846875,3.2835288754588943,433.65084156312076,32,3,Triclinic
mp-760432,Cu2O3,0.136,-0.851877498249999,5.954172764725702,97.66062516736574,10,2,Orthorhombic
mp-29532,Ca11(ReO6)4,,-2.90627010025641,5.060365606877377,1030.1631210164414,78,3,Tetragonal
mp-17967,NaMnPO4,3.061,-2.5614851319933143,3.4520671036617943,332.67700560206526,28,4,Orthorhombic
mp-19417,TiFeO3,2.7436,-2.717671577666666,4.907110856305436,102.67577859097742,10,3,Trigonal
mp-31126,Na3CoO3,0.8294,-1.5625870084482751,3.110522646850554,187.80765940023784,14,3,Triclinic
mp-19247,ScVO4,2.6851000000000003,-3.041869945833333,3.743053187023003,141.86916440353752,12,3,Tetragonal
mp-1178209,FeSbO4,1.4272,-1.8058337441666672,5.183199498864777,154.80421156083295,12,3,Tetragonal
mp-985586,Na3BrO,1.8815,-1.615873120827586,2.93902544973586,93.15250142153529,5,3,Cubic
mp-22526,LiCoO2,0.6623,-1.745659770833334,5.121430775621985,31.733696867729034,4,3,Trigonal
mp-22781,Mn2GeO4,0.0,-2.083563204408867,4.89961211396343,334.1861381476509,28,3,Orthorhombic
mp-18571,BaCrO4,2.9695,-2.46133507083334,4.5086112331488515,373.1959993673475,24,3,Orthorhombic
mp-14968,Dy2Ru2O7,0.0,-2.595822591666666,8.118628339937965,261.4505604454739,22,3,Cubic
mp-1194365,Th(BO2)4,4.4289,-3.16157274128205,5.946034519419019,225.24512520550826,26,3,Monoclinic
mp-772094,Lu2WO6,2.8266,-3.296970305925926,9.4109741572072,444.4846345210442,36,3,Monoclinic
mp-760533,SmZr4O9,0.0,-3.666831877857142,6.21340427094529,176.1854417068123,14,3,Orthorhombic
mp-14676,NdTa7O19,,-3.418825040697567,8.445368402415893,674.3581695358869,54,3,Hexagonal
mp-559316,CsV(SO4)2,0.0,-2.191323815804598,3.229676244593244,773.2248050915675,48,4,Trigonal
mp-760157,W7(OF5)6,3.4889,-2.6882984611627903,4.529966226898927,715.8437492805781,43,3,Triclinic
mp-29909,Ba4I6O,3.9787,-2.271982365909091,4.883525610679497,902.2555337837325,22,3,Hexagonal
mp-29505,Cs3BiO3,3.0476,-1.608117970923647,5.458755752174678,797.8426873403475,28,3,Cubic
mp-1197030,BaSm2Ti3O10,1.953,-3.6561050765625,5.767367527480549,427.06677130019625,32,4,Orthorhombic
mp-540794,Ba3SrNb2O9,3.2445,-3.247779618,5.304963726455043,519.2363435310318,30,4,Hexagonal
mp-1042739,CaCoAs2O7,,-2.044447314318182,3.976560704052045,602.7377833082218,44,4,Monoclinic
mp-546794,SiO2,5.689599999999999,-3.267183893333333,2.223612886125405,89.73893630609501,6,2,Tetragonal
mp-756077,VOF3,2.876,-2.6862706595,2.879183689676638,285.9154176110699,20,3,Triclinic
mp-553278,Nd4Se3O4,1.323299999999999,-3.134966523366476,6.616116092586185,220.32517157254347,11,3,Orthorhombic
mp-7264,Nd(PO3)3,5.4867,-2.987418768956045,3.625558573978803,349.1476126124611,26,3,Orthorhombic
mp-997009,BaAuO2,1.1892,-1.783481409999999,8.029159431668086,151.5084595587855,8,3,Monoclinic
mp-1205665,Ba2EuRuO6,0.0,-2.6238421995,6.723805241460488,154.02770815592885,10,4,Cubic
